Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Value,Standard Units,Assay Organism
CHEMBL393630,394.27,Brc1ccc(NCc2ccc3cc2OCC#C/C=C\C#CCO3)cc1,128.0,ug.mL-1,Escherichia coli
CHEMBL4521692,514.35,COc1ccc2[nH]c3c(-c4ccccn4)[n+](Cc4ccc(C(F)(F)F)cc4)ccc3c2c1.[Br-],200000.0,nM,Escherichia coli
CHEMBL4538129,460.38,COc1ccc2[nH]c3c(-c4ccccn4)[n+](Cc4ccc(C)cc4)ccc3c2c1.[Br-],200000.0,nM,Escherichia coli
CHEMBL3314529,419.29,Cc1[nH]c(C(=O)N[C@@H]2CCN(c3ncc(C(=O)O)s3)C[C@@H]2O)c(Cl)c1Cl,64.0,ug.mL-1,Escherichia coli
CHEMBL3314530,447.34,CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,8.0,ug.mL-1,Escherichia coli
CHEMBL4277483,483.32,OC(Cn1cncn1)(Cn1c2ccccc2c2cc(Br)ccc21)c1ccc(F)cc1F,32.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL4448828,439.44,COc1ccc(C2=NN=C3C(F)CC4=C(C(C5CC5)C=C(C(=O)O)C4=O)N3C2)cc1OC,0.5,ug.mL-1,Escherichia coli
CHEMBL4538532,571.39,COC(=O)c1ccc(-c2c3[nH]c4ccc(OC)cc4c3cc[n+]2Cc2ccc(C(F)(F)F)cc2)cc1.[Br-],200000.0,nM,Escherichia coli
CHEMBL4593661,447.51,C[C@]1(CO)C[C@@H]1C#CC#Cc1cc2n(c1)C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)C2,0.25,ug.mL-1,Escherichia coli
CHEMBL4081542,385.47,CCCc1ccc(C2CC(c3ccc(O)cc3)=NN2C(=O)c2cccnc2)cc1,12.5,ug.mL-1,Escherichia coli
CHEMBL4570914,490.6,CC(C)(O)c1ccc(C#Cc2cc3c(s2)C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)C3)cc1,0.12,ug.mL-1,Escherichia coli
CHEMBL455639,438.51,COc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2nnc(-c3ccccc3)s2)cc1,11.08,ug.mL-1,Escherichia coli
CHEMBL3359534,521.4,CCc1oc(=O)c(Cc2c(O)c3c(c(C(=O)[C@@H](C)CC)c2O)OC(C)(C)C(Br)=C3)c(O)c1C,128000.0,nM,Escherichia coli
CHEMBL3771115,478.55,CC1(C)O[C@H]2[C@@H](C(=O)NO)O[C@@H](c3ccc(C#Cc4ccc(CN5CCOCC5)cc4)cc3)[C@H]2O1,128000.0,nM,Escherichia coli
CHEMBL4247811,457.02,O=C1N/C(=N\c2nnc(C34CC5CC(CC(C5)C3)C4)s2)S/C1=C/c1ccc(Cl)cc1,274.0,nM,Escherichia coli
CHEMBL516309,440.33,Cc1cccc(NC(=O)CSc2nnc(-c3cc(F)c(Cl)cc3Cl)n2N)c1C,12.5,ug.mL-1,Escherichia coli
CHEMBL103309,294.29,CCn1cc(C(=O)O)c(=O)c2cc(F)c(NCCN)nc21,6.25,ug.mL-1,Escherichia coli
CHEMBL465721,427.7,O=[N+]([O-])c1ccc(-c2csc(N/N=C/c3cc(Cl)cc(Cl)c3Cl)n2)cc1,25.0,ug.mL-1,Escherichia coli
CHEMBL184618,614.65,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,2.0,ug.mL-1,Escherichia coli ATCC 25922
CHEMBL393504,375.45,Cc1c(F)c(N2CC[C@@H]([C@H](C)N)C2)c(C)c2c1c(=O)n(N)c(=O)n2C1CC1,0.03,ug.mL-1,Escherichia coli
